ensemblID	Young1	Young2	Young3	Young4	Young5	Old1	Old2	Old3	Old4	Old5	Old6
ENSMUSG00000028519	2642.61	2616.41	2824.78	2358.72	2938.92	2869.14	2882.08	3078.09	2789.88	2872.69	2727.51
ENSMUSG00000031662	30.33	19.65	20.22	20.11	21.35	29.58	26.09	23.11	18.72	20.48	29.67
ENSMUSG00000031347	536.61	693.18	603.56	744.86	723.20	773.98	662.79	672.86	712.68	675.76	756.51
ENSMUSG00000026234	5789.16	6572.73	6283.76	6623.31	6986.13	7148.20	6952.74	7312.56	6855.34	6734.15	6493.38
ENSMUSG00000035000	38.88	38.41	31.86	33.22	29.88	36.97	31.31	25.78	35.11	49.73	46.35
ENSMUSG00000079045	82.44	90.22	70.47	61.20	76.85	65.32	86.11	93.33	77.24	83.86	83.44
ENSMUSG00000085272	19.44	23.23	22.06	14.86	15.37	16.02	14.35	32.00	18.72	20.48	20.40
ENSMUSG00000026339	674.26	603.86	704.66	561.27	579.76	649.50	651.04	763.52	627.26	693.31	634.13
ENSMUSG00000068323	709.26	767.32	267.77	1184.61	1325.16	711.12	1199.02	807.96	763.00	1141.86	979.01
ENSMUSG00000020611	1304.19	1528.40	1563.13	1675.93	1710.24	1685.99	1632.18	1724.37	1631.33	1725.96	1607.58
ENSMUSG00000026672	381.85	349.27	315.57	331.34	363.74	356.18	421.42	332.43	367.46	363.72	411.63
ENSMUSG00000026003	659.49	722.66	669.12	847.15	831.64	730.84	812.83	784.85	755.98	833.72	886.30
ENSMUSG00000097178	60.66	49.13	70.47	63.82	81.97	76.41	61.32	88.88	66.70	69.23	53.77
ENSMUSG00000023764	175.76	151.86	140.32	121.52	150.28	140.50	140.91	201.77	155.64	144.32	168.73
ENSMUSG00000001280	537.39	619.93	509.81	644.32	706.13	672.92	665.40	743.08	590.98	621.15	580.36
ENSMUSG00000079038	25.66	41.98	27.57	44.59	55.50	43.14	26.09	65.77	31.60	42.91	40.79
ENSMUSG00000045005	59.10	54.49	45.34	65.57	71.72	62.85	61.32	52.44	67.87	70.21	66.75
ENSMUSG00000021871	233.31	209.03	224.27	261.40	270.67	240.33	293.56	239.99	259.80	243.78	270.71
ENSMUSG00000042680	1118.33	1121.96	1297.81	910.97	1161.22	1168.36	1123.35	1333.27	1087.16	1234.50	1281.25
ENSMUSG00000029640	1231.09	1295.25	1446.70	1287.77	1298.69	1388.97	1458.65	1413.27	1403.13	1394.42	1386.93
ENSMUSG00000002332	969.79	919.18	971.82	924.08	986.19	965.01	998.09	918.18	1054.40	1094.08	1125.49
ENSMUSG00000047757	17.89	29.48	30.64	41.96	23.05	35.74	28.70	29.33	36.28	31.20	22.25
ENSMUSG00000054619	386.51	445.75	397.06	543.78	434.61	478.19	495.79	473.76	470.44	488.53	424.61
ENSMUSG00000027193	1234.20	1485.52	1387.27	1502.83	1544.60	1603.42	1529.11	1576.82	1466.33	1477.30	1546.40
ENSMUSG00000070390	13.22	17.87	8.58	8.74	16.22	13.56	7.83	14.22	14.04	14.63	20.40
ENSMUSG00000041438	613.60	651.20	686.89	595.36	590.86	743.17	568.85	660.42	716.19	689.41	660.09
ENSMUSG00000025997	94.10	93.79	97.43	90.92	98.19	102.29	100.46	109.33	106.49	100.44	87.15
ENSMUSG00000001128	59.88	61.64	50.25	46.34	46.96	53.00	46.97	77.33	49.15	53.63	59.33
ENSMUSG00000054720	570.83	670.85	756.75	759.72	758.21	794.93	716.28	762.63	789.92	707.93	754.66
ENSMUSG00000045160	244.97	227.79	220.59	232.55	242.49	250.19	281.81	208.88	263.31	255.48	248.46
ENSMUSG00000032504	1763.03	1858.91	1837.64	1855.16	1893.82	1941.11	1924.43	2096.80	1892.30	1932.68	2048.88
ENSMUSG00000038764	1532.84	1579.31	1539.23	1519.44	1603.51	1652.71	1570.86	1872.81	1579.84	1660.62	1640.96
ENSMUSG00000028691	979.12	1213.96	1080.89	1396.18	1339.68	1393.90	1316.44	1173.28	1329.41	1271.55	1246.02
ENSMUSG00000015846	850.02	841.47	907.48	793.82	735.16	904.62	918.51	783.97	895.24	920.51	899.28
ENSMUSG00000026563	599.60	619.04	656.87	602.36	577.20	685.24	647.13	643.53	629.60	682.58	643.40
ENSMUSG00000038876	857.02	902.21	969.37	794.69	893.97	929.27	991.57	991.07	925.67	959.51	877.03
ENSMUSG00000024483	1327.53	1374.75	1264.72	1159.25	1314.06	1377.88	1320.35	1607.04	1334.09	1339.81	1286.81
ENSMUSG00000022185	1873.47	1730.28	1611.53	1461.74	1598.39	1625.60	1758.73	2087.91	1673.46	1813.72	1674.33
ENSMUSG00000058298	124.43	149.18	132.97	146.00	143.45	171.31	134.38	143.99	142.77	156.02	142.77
ENSMUSG00000014232	297.86	338.55	324.15	340.96	350.07	366.04	347.05	385.76	362.78	343.24	302.23
ENSMUSG00000040359	633.04	678.89	619.49	623.34	759.06	769.05	647.13	773.30	747.79	608.47	713.86
ENSMUSG00000031299	3902.47	3831.26	4058.25	3740.04	4013.05	4440.51	4219.39	3961.60	4242.17	4156.92	4108.89
ENSMUSG00000039126	1462.07	1704.37	1728.57	1476.61	1495.93	1799.37	1650.44	1591.93	1706.23	1621.62	1759.63
ENSMUSG00000056124	3609.28	3959.00	4101.14	4018.05	4557.80	4765.88	4327.68	4497.58	4301.85	4037.95	4090.35
ENSMUSG00000007812	572.38	650.31	730.40	778.08	693.32	792.46	708.45	709.30	733.75	702.08	763.93
ENSMUSG00000049411	97.99	134.88	112.13	137.26	124.66	146.66	135.69	135.11	131.07	105.31	126.08
ENSMUSG00000022314	2456.74	2503.86	2367.06	2586.90	2797.18	2828.47	2836.41	2838.99	2659.98	2547.00	2614.41
ENSMUSG00000095332	46.66	45.56	37.38	41.09	30.74	36.97	35.23	61.33	37.45	51.68	31.52
ENSMUSG00000029538	657.93	555.62	609.69	602.36	587.44	622.39	640.61	719.08	623.74	603.60	665.65
ENSMUSG00000025350	313.41	306.39	151.96	545.53	471.32	317.97	457.95	310.21	342.88	456.35	448.71
ENSMUSG00000060890	10.11	16.08	7.35	11.37	13.66	14.79	7.83	12.44	11.70	12.68	16.69
ENSMUSG00000041309	206.87	185.80	146.45	283.26	170.77	184.87	204.84	204.44	211.82	179.42	302.23
ENSMUSG00000032232	997.78	1009.40	609.69	1320.99	1459.21	931.73	1392.11	1012.40	985.35	1416.84	1255.29
ENSMUSG00000085156	26.44	32.16	26.96	27.98	24.76	33.28	28.70	24.89	30.43	26.33	38.94
ENSMUSG00000049184	251.20	270.66	305.15	309.48	332.14	314.27	337.92	346.65	291.39	311.06	279.98
ENSMUSG00000033863	2813.70	3118.43	3012.89	3420.06	3390.60	3434.83	3210.86	3609.62	3268.52	3385.60	3322.71
ENSMUSG00000033906	198.31	269.77	257.36	258.78	223.71	277.30	255.72	235.55	290.22	233.05	267.00
ENSMUSG00000039988	1048.33	1213.96	1191.19	1136.52	1200.50	1284.21	1325.57	1236.39	1225.25	1139.91	1234.89
ENSMUSG00000003721	913.01	909.36	988.37	954.68	1026.32	1009.38	1081.59	1023.07	1012.27	1006.32	1030.93
ENSMUSG00000031119	744.25	737.85	791.06	570.01	724.06	759.19	718.89	816.85	760.66	807.40	719.43
ENSMUSG00000086922	27.22	31.26	20.22	30.60	23.91	28.35	22.18	34.67	26.92	19.50	42.65
ENSMUSG00000047888	2193.88	2295.72	2340.09	2078.96	2429.18	2409.44	2318.45	2750.10	2289.01	2377.33	2416.01
ENSMUSG00000028233	480.62	584.20	543.51	527.17	560.97	607.60	561.02	649.75	545.34	543.14	548.84
ENSMUSG00000020534	82.44	101.83	94.98	89.17	81.11	96.13	90.02	104.88	99.47	90.69	96.42
ENSMUSG00000037369	503.17	579.74	559.44	597.99	620.74	677.85	588.42	666.64	593.32	527.54	623.01
ENSMUSG00000068823	3462.30	3745.51	3724.30	3771.51	3968.65	4032.57	4113.71	4024.71	3867.69	3950.19	3990.22
ENSMUSG00000032766	160.21	159.00	140.32	208.95	178.45	195.96	169.61	164.44	181.39	161.87	222.50
ENSMUSG00000097488	78.55	106.30	87.01	94.42	111.85	101.06	114.81	91.55	101.81	94.59	114.96
ENSMUSG00000022507	853.91	907.57	1068.02	1034.24	1027.17	1058.67	1020.27	1151.95	952.59	1022.90	1080.99
ENSMUSG00000028992	111.21	106.30	85.79	106.66	110.15	117.08	110.90	116.44	112.34	104.34	101.98
ENSMUSG00000037681	33.44	66.10	75.98	58.57	34.15	70.25	62.63	54.22	71.39	51.68	37.08
ENSMUSG00000031590	269.08	298.35	282.48	301.62	297.99	294.56	318.35	371.54	277.35	279.86	317.07
ENSMUSG00000027890	186.65	192.05	198.53	187.09	167.35	226.77	202.23	151.99	243.41	201.85	174.29
ENSMUSG00000040372	160.98	178.66	197.31	165.23	181.01	184.87	181.35	221.32	183.73	174.55	189.13
ENSMUSG00000028780	500.06	551.15	483.46	525.42	736.01	653.20	632.78	653.30	576.93	493.41	585.92
ENSMUSG00000030598	36.55	41.09	27.57	28.85	34.15	39.44	39.14	28.44	40.96	33.15	37.08
ENSMUSG00000039684	16.33	20.55	25.74	24.48	19.64	25.88	20.88	16.89	24.58	31.20	18.54
ENSMUSG00000028247	269.86	361.78	320.47	295.50	333.85	375.90	335.31	345.76	349.91	295.46	330.05
ENSMUSG00000090112	888.13	992.43	1020.84	872.50	1104.87	1080.86	1011.14	1240.83	971.31	915.63	1049.47
ENSMUSG00000005886	2191.54	2371.65	2301.49	1983.67	2428.32	2472.29	2493.28	2517.22	2280.82	2278.85	2445.68
ENSMUSG00000043061	566.94	667.28	629.29	659.18	675.39	671.68	654.96	687.97	679.92	675.76	741.68
ENSMUSG00000022508	812.69	826.28	1066.80	798.19	865.79	1003.21	1005.92	953.74	961.95	914.66	775.05
ENSMUSG00000034218	512.50	556.51	564.34	459.85	572.93	566.93	520.57	676.41	546.51	567.52	539.57
ENSMUSG00000056069	318.08	361.78	362.14	350.57	337.27	361.11	379.67	404.43	367.46	368.59	328.19
ENSMUSG00000054814	2515.07	2793.28	3017.18	2919.12	2937.21	3179.72	3033.42	3163.42	3005.21	2939.97	2883.27
ENSMUSG00000048215	15.55	11.61	12.26	10.49	4.27	12.32	7.83	12.44	9.36	13.65	16.69
ENSMUSG00000025351	601.94	574.38	485.91	653.94	706.98	584.18	708.45	490.64	677.58	781.07	647.11
